Region Name,Sub-Region Name,Country Name
Americas,Latin America and the Caribbean,Sint Maarten (Dutch part)
Americas,Latin America and the Caribbean,Trinidad and Tobago
Americas,Latin America and the Caribbean,Turks and Caicos Islands
Americas,Latin America and the Caribbean,United States Virgin Islands
Americas,Latin America and the Caribbean,Belize
Americas,Latin America and the Caribbean,Costa Rica
Americas,Latin America and the Caribbean,El Salvador
Americas,Latin America and the Caribbean,Guatemala
Americas,Latin America and the Caribbean,Honduras
Americas,Latin America and the Caribbean,Mexico
Americas,Latin America and the Caribbean,Nicaragua
Americas,Latin America and the Caribbean,Panama
Americas,Latin America and the Caribbean,Argentina
Americas,Latin America and the Caribbean,Bolivia (Plurinational State of)
Americas,Latin America and the Caribbean,Bouvet Island
Americas,Latin America and the Caribbean,Brazil
Americas,Latin America and the Caribbean,Chile
Americas,Latin America and the Caribbean,Colombia
Americas,Latin America and the Caribbean,Ecuador
Americas,Latin America and the Caribbean,Falkland Islands (Malvinas)
Americas,Latin America and the Caribbean,French Guiana
Americas,Latin America and the Caribbean,Guyana
Americas,Latin America and the Caribbean,Paraguay
Americas,Latin America and the Caribbean,Peru
Americas,Latin America and the Caribbean,South Georgia and the South Sandwich Islands
Americas,Latin America and the Caribbean,Suriname
Americas,Latin America and the Caribbean,Uruguay
Americas,Latin America and the Caribbean,Venezuela (Bolivarian Republic of)
Americas,Northern America,Bermuda
Americas,Northern America,Canada
Americas,Northern America,Greenland
Americas,Northern America,Saint Pierre and Miquelon
Americas,Northern America,United States of America
Asia,Central Asia,Kazakhstan
Asia,Central Asia,Kyrgyzstan
Asia,Central Asia,Tajikistan
Asia,Central Asia,Turkmenistan
Asia,Central Asia,Uzbekistan
Asia,Eastern Asia,China
Asia,Eastern Asia,China
Asia,Eastern Asia,China
Asia,Eastern Asia,Democratic People's Republic of Korea
Asia,Eastern Asia,Japan
Asia,Eastern Asia,Mongolia
Asia,Eastern Asia,Republic of Korea
Asia,South-eastern Asia,Brunei Darussalam
Asia,South-eastern Asia,Cambodia
Asia,South-eastern Asia,Indonesia
Asia,South-eastern Asia,Lao People's Democratic Republic
Asia,South-eastern Asia,Malaysia
Asia,South-eastern Asia,Myanmar
Asia,South-eastern Asia,Philippines
Asia,South-eastern Asia,Singapore
Asia,South-eastern Asia,Thailand
Asia,South-eastern Asia,Timor-Leste
Asia,South-eastern Asia,Viet Nam
Asia,Southern Asia,Afghanistan
Asia,Southern Asia,Bangladesh
Asia,Southern Asia,Bhutan
Asia,Southern Asia,India
Asia,Southern Asia,Iran (Islamic Republic of)
Asia,Southern Asia,Maldives
Asia,Southern Asia,Nepal
Asia,Southern Asia,Pakistan
Asia,Southern Asia,Sri Lanka
Asia,Western Asia,Armenia
Asia,Western Asia,Azerbaijan
Asia,Western Asia,Bahrain
Asia,Western Asia,Cyprus
Asia,Western Asia,Georgia
Asia,Western Asia,Iraq
Asia,Western Asia,Israel
Asia,Western Asia,Jordan
Asia,Western Asia,Kuwait
Asia,Western Asia,Lebanon
Asia,Western Asia,Oman
Asia,Western Asia,Qatar
Asia,Western Asia,Saudi Arabia
Asia,Western Asia,State of Palestine
Asia,Western Asia,Syrian Arab Republic
Asia,Western Asia,Turkey
Asia,Western Asia,United Arab Emirates
Asia,Western Asia,Yemen
Europe,Eastern Europe,Belarus
Europe,Eastern Europe,Bulgaria
Europe,Eastern Europe,Czechia
Europe,Eastern Europe,Hungary
Europe,Eastern Europe,Poland
Europe,Eastern Europe,Republic of Moldova
Europe,Eastern Europe,Romania
Europe,Eastern Europe,Russian Federation
Europe,Eastern Europe,Slovakia
Europe,Eastern Europe,Ukraine
Europe,Northern Europe,Åland Islands
Europe,Northern Europe,Guernsey
Europe,Northern Europe,Jersey
Europe,Northern Europe,Denmark
Europe,Northern Europe,Estonia
Europe,Northern Europe,Faroe Islands
Europe,Northern Europe,Finland
Europe,Northern Europe,Iceland
Europe,Northern Europe,Ireland
Europe,Northern Europe,Isle of Man
Europe,Northern Europe,Latvia
Europe,Northern Europe,Lithuania
Europe,Northern Europe,Norway
Europe,Northern Europe,Svalbard and Jan Mayen Islands
Europe,Northern Europe,Sweden
Europe,Northern Europe,United Kingdom of Great Britain and Northern Ireland
Europe,Southern Europe,Albania
Europe,Southern Europe,Andorra
Europe,Southern Europe,Bosnia and Herzegovina
Europe,Southern Europe,Croatia
Europe,Southern Europe,Gibraltar
Europe,Southern Europe,Greece
Europe,Southern Europe,Holy See
Europe,Southern Europe,Italy
Europe,Southern Europe,Malta
Europe,Southern Europe,Montenegro
Europe,Southern Europe,North Macedonia
Europe,Southern Europe,Portugal
Europe,Southern Europe,San Marino
Europe,Southern Europe,Serbia
Europe,Southern Europe,Slovenia
Europe,Southern Europe,Spain
Europe,Western Europe,Austria
Europe,Western Europe,Belgium
Europe,Western Europe,France
Europe,Western Europe,Germany
Europe,Western Europe,Liechtenstein
Europe,Western Europe,Luxembourg
Europe,Western Europe,Monaco
Europe,Western Europe,Netherlands
Europe,Western Europe,Switzerland
Oceania,Australia and New Zealand,Australia
Oceania,Australia and New Zealand,Christmas Island
Oceania,Australia and New Zealand,Cocos (Keeling) Islands
Oceania,Australia and New Zealand,Heard Island and McDonald Islands
Oceania,Australia and New Zealand,New Zealand
Oceania,Australia and New Zealand,Norfolk Island
Oceania,Melanesia,Fiji
Oceania,Melanesia,New Caledonia
Oceania,Melanesia,Papua New Guinea
Oceania,Melanesia,Solomon Islands
Oceania,Melanesia,Vanuatu
Oceania,Micronesia,Guam
Oceania,Micronesia,Kiribati
Oceania,Micronesia,Marshall Islands
Oceania,Micronesia,Micronesia (Federated States of)
Oceania,Micronesia,Nauru
Oceania,Micronesia,Northern Mariana Islands
Oceania,Micronesia,Palau
Oceania,Micronesia,United States Minor Outlying Islands
Oceania,Polynesia,American Samoa
Oceania,Polynesia,Cook Islands
Oceania,Polynesia,French Polynesia
Oceania,Polynesia,Niue
Oceania,Polynesia,Pitcairn
Oceania,Polynesia,Samoa
Oceania,Polynesia,Tokelau
Oceania,Polynesia,Tonga
Oceania,Polynesia,Tuvalu
Oceania,Polynesia,Wallis and Futuna Islands
